1:외대부고:전사고:72:31:41:경기 용인시
2:서울과고:영재고:67:54:13:서울종로구 
3:경기과고:영재고:53:47:6:경기 수원시
4:daewon high school:외고:49:33:16:서울 광진구
5:하나고:전국자사고:47:38:9:서울 은평구
6:대전과고:영재고:40:38:2:대전 유성구
7:세화고:광역자사고:39:6:33:서울 서초구
8:한국영재:영재고:39:35:4:부산 부산진구
9:대구과고:영재고:34:32:2:대구 수성구
10:세종영재:영재고:34:34:0:세종 세종시
11:인천영재:영재고:34:34:0:인천 연수구
12:광주과고:영재고:32:31:1:광주 북구
13:휘문고:광역자사고:32:3:29:서울 강남구
14:상산고:전국자사고:31:8:23:전북 전주시
15:민사고:전국자사고:30:24:6:강원 횡성군
16:세종과고:과고:30:21:9:서울 구로구
17:중동고:광역자사고:30:6:24:서울 강남구 
18:상문고:일반고:24:10:14:서울 �초구
19:대일외고:외고:23:21:2:서울 성북구
20:명덕외고:외고:23:18:5:서울 강서구
21:경기고:일반고:22:6:16:서울 강남구
22:단대부고:일반고:20:3:17:서울 강남구
23:북일고:전국자사고:20:14:6:충남 천안시
24:한성과고:과고:20:13:7:서울 서대문구
25:한영외고:외고:20:13:7:서울 강동구
26:낙생고:일반고:19:2:17:경기 분당구
27:배재고:광역자사고:19:7:12:서울 강동구
28:화성고:일반고:19:0:19:경기 화성시
29:보인고:전국자사고:18:7:11:서울 송파구
30:인천하늘고:전국자사고:18:16:2:인천 중구
31:한일고:일반고:18:5:13:충남 공주시
32:경기외고:외고:17:13:4:경기 의왕시
33:서울고:일반고:17:9:8:서울 서초구
34:경남과고:과고:16:16:0:경남 진주시
35:진성여고:일반고:16:6:10:서울 강남구
36:선덕고:광역자사고:15:7:8:서울 도봉구
37:세마고:자공고:15:1:14:경기 오산시
38:고양외고:외고:14:13:1:경기 고양시
39:김천고:전국자사고:14:12:2:경북 김천시
40:분당중앙고:일반고:14:5:9:경기 성남시
41:숙명여고:일반고:14:9:5:서울 강남구
42:영동고:일반고:14:9:5:서울 강남구
43:충남삼성고:광역자사고:14:13:1:충남 아산시
44:강서고:일반고:13:1:12:서울 양천구
45:공주사대부고:일반고:13:11:2:충남 공주시
46:과천외고:외고:13:12:1:경기 과천시
47:반포고:일반고:13:4:9:서울 서초구
48:수지고:일반고:13:2:11:경기 수지구
49:포항제철고:전국자사고:13:11:2:경북 포항시
50:고양국제고:국제고:12:12:0:경기 고양시
51:동탄국제고:국제고:12:8:4:경기 화성시
52:부산외고:외고:12:11:1:부산 연제구
53:중산고:일반고:12:7:5:서울 강남구
54:경기여고:일반고:11:6:5:서울 강남구
55:분당대진고:일반고:11:4:7:경기 성남시
56:신성고:일반고:11:5:6:경기 안양시
57:양서고등학교:일반고:11:4:7:경기 양평군 
58:양정고:광역자사고:11:3:8:서울 양천구
59:중앙고:광역자사고:11:3:8:서울 종로구
60:한민고:일반고:11:9:2:경기 파주시
61:현대고:광역자사고:11:6:5:서울 종로구
62:대륜고:일반고:10:8:2:대구 수성구
63:동화고:일반고:10:6:4:경기 남양주시
64:서울국제고:국제고:10:7:3:서울 종로구
65:안산동산고:광역자사고:10:5:5:경기 안산시 
66:안양외고:외고:10:9:1:경기 안양교
67:이화여고:광역자사고:10:5:5:서울 중구
68:인천포스코고:전국자사고:10:9:1:인천 연수구
69:청심국제고:국제고:10:9:1:경기 가평군
70:한영고:일반고:10:8:2:서울 강동구
71:대전고:자공고:9:8:1:대전 중구
72:대전대성고:광역자사고:9:5:4:대전 중구
73:대전외고:외고:9:8:1:대전 서구
74:미추홀외고:외고:9:9:0:인천 남동구
75:부산과고:과고:9:6:3:부산 금정구
76:서문여고:일반고:9:5:4:서울 서초구
77:운정고등학교:자공고:9:1:8:경기 파주시
78:인천과고:과고:9:9:0:인천 중구
79:인천국제고:국제고:9:6:3:인천 중구
80:중대부고:일반고:9:5:4:서울 강남구
81:경신고:일반고:8:3:5:대구 수성구
82:경원고:일반고:8:4:4: 대구 달서구
83:대전동신과고:과고:8:8:0: 대전 동구
84:대진고:일반고:8:4:4:서울 노원구
85:명덕고:일반고:8:5:3:서울 강서구
86:목동고:일반고:8:4:4:서울 양천구
87:성남외고:외고:8:7:1:경기 성남교
88:세광고:일반고:8:6:2:충북 청주시
89:세화여고:광역자사고:8:4:4: 서울 서초구 
90:일산대진고:일반고:8:3:5:경기 고양시
91:정화여고:일반고:8:5:3:대구 수성구
92:목동 진명여자고등학교:일반고:8:6:2:서울 양천구
93:진성고:일반고:8:2:6:경기 광명시
94:평택고:일반고:8:2:6: 경기 평택시
95:한가람고:광역자사고:8:1:1:서울 양천구
